poll_id,year,state,state_po,candidate_name,party,votes,pct,sample_size
667,1984,ALABAMA,AL,"REAGAN, RONALD",REPUBLICAN,872849,60.54,1441713
668,1984,ALABAMA,AL,"MONDALE, WALTER",DEMOCRAT,551899,38.28,1441713
669,1984,ALABAMA,AL,"BERGLAND, DAVID",LIBERTARIAN,9504,0.66,1441713
670,1984,ALABAMA,AL,"HALL, GUS",OTHER,4671,0.32,1441713
671,1984,ALABAMA,AL,"RICHARDS, BOB",OTHER,1401,0.1,1441713
672,1984,ALABAMA,AL,"MASON, MELVIN",OTHER,730,0.05,1441713
673,1984,ALABAMA,AL,"SERRETTE, DENNIS",OTHER,659,0.05,1441713
674,1984,ALASKA,AK,"REAGAN, RONALD",REPUBLICAN,138377,66.65,207605
675,1984,ALASKA,AK,"MONDALE, WALTER",DEMOCRAT,62007,29.87,207605
676,1984,ALASKA,AK,"BERGLAND, DAVID",LIBERTARIAN,6378,3.07,207605
677,1984,ALASKA,AK,OTHER,OTHER,843,0.41,207605
